# qpc_frequency=10000000
present_id,guest_frame,qpc
1,1,15419844822530
2,2,15419844862684
3,3,15419845084472
4,4,15419845252401
5,5,15419845417551
6,6,15419845583820
7,7,15419845749854
8,8,15419845916277
9,9,15419846086054
10,10,15419846250915
11,11,15419846417344
12,12,15419846582988
13,13,15419846751222
14,14,15419846916455
15,15,15419847084582
16,16,15419847251111
17,17,15419847416304
18,18,15419847583385
19,19,15419847755546
20,20,15419847916998
21,21,15419848085518
22,22,15419848250942
23,23,15419848416768
24,24,15419848585022
25,25,15419848751116
26,26,15419848918371
27,27,15419849085693
28,28,15419849251561
29,29,15419849417894
30,30,15419849586734
31,31,15419849750665
32,32,15419849917032
33,33,15419850084863
34,34,15419850250749
35,35,15419850418202
36,36,15419850586003
37,37,15419850751720
38,38,15419850917039
39,39,15419851083668
40,40,15419851250672
41,41,15419851416330
42,42,15419851582599
43,43,15419851750034
44,44,15419851917312
45,45,15419852083124
46,46,15419852250779
47,47,15419852416389
48,48,15419852582944
49,49,15419852750912
50,50,15419852947714
51,51,15419853084248
52,52,15419853251218
53,53,15419853417757
54,54,15419853584860
55,55,15419853749964
56,56,15419853920421
57,57,15419854083184
58,58,15419854251260
59,59,15419854417937
60,60,15419854583638
61,61,15419854749164
62,62,15419854916113
63,63,15419855081517
64,64,15419855249348
65,65,15419855416537
66,66,15419855585074
67,67,15419855752329
68,68,15419855917539
69,69,15419856083849
70,70,15419856249673
71,71,15419856417804
72,72,15419856584532
73,73,15419856750925
74,74,15419856917867
75,75,15419857084904
76,76,15419857251444
77,77,15419857417687
78,78,15419857584433
79,79,15419857749952
80,80,15419857917195
81,81,15419858084624
82,82,15419858251199
83,83,15419858418136
84,84,15419858585151
85,85,15419858751262
86,86,15419858918059
87,87,15419859083865
88,88,15419859251519
89,89,15419859417000
90,90,15419859583605
91,91,15419859751528
92,92,15419859917766
93,93,15419860083643
94,94,15419860251399
95,95,15419860418432
96,96,15419860584534
97,97,15419860750006
98,98,15419860917218
99,99,15419861084973
100,100,15419861250584
101,101,15419861417123
102,102,15419861582985
103,103,15419861750805
104,104,15419861917679
105,105,15419862084053
106,106,15419862250170
107,107,15419862419059
108,108,15419862582904
109,109,15419862750250
110,110,15419862916329
111,111,15419863084934
112,112,15419863252540
113,113,15419863416150
114,114,15419863583888
115,115,15419863749882
116,116,15419863917262
117,117,15419864082086
118,118,15419864250562
119,119,15419864417175
120,120,15419864584247
121,121,15419864750756
122,122,15419864916890
123,123,15419865082707
124,124,15419865250527
125,125,15419865415650
126,126,15419865602580
127,127,15419865750828
128,128,15419865918700
129,129,15419866084027
130,130,15419866249733
131,131,15419866417891
132,132,15419866583575
133,133,15419866751199
134,134,15419866916833
135,135,15419867083865
136,136,15419867249814
137,137,15419867417337
138,138,15419867584714
139,139,15419867750399
140,140,15419867918499
141,141,15419868085562
142,142,15419868251831
143,143,15419868517826
144,144,15419868584184
145,145,15419868750709
146,146,15419868917923
147,147,15419869084923
148,148,15419869251912
149,149,15419869417714
150,150,15419869584085
151,151,15419869749547
152,152,15419869919915
153,153,15419870083730
154,154,15419870251176
155,155,15419870434109
156,156,15419870589366
157,157,15419870750798
158,158,15419870916536
159,159,15419871085132
160,160,15419871250953
161,161,15419871418247
162,162,15419871583244
163,163,15419871752067
164,164,15419871919282
165,165,15419872085164
166,166,15419872251416
167,167,15419872418152
168,168,15419872583564
169,169,15419872751636
170,170,15419872924254
171,171,15419873087900
172,172,15419873251380
173,173,15419873417243
174,174,15419873585484
175,175,15419873751755
176,176,15419873919767
177,177,15419874083964
178,178,15419874251577
179,179,15419874418437
180,180,15419874585648
181,181,15419874751458
182,182,15419874920490
183,183,15419875084199
184,184,15419875251408
185,185,15419875418179
186,186,15419875586185
187,187,15419875751838
188,188,15419875926469
189,189,15419876085621
190,190,15419876251610
191,191,15419876418743
192,192,15419876584567
193,193,15419876752328
194,194,15419876918850
195,195,15419877086291
196,196,15419877251729
197,197,15419877420767
198,198,15419877586322
199,199,15419877752707
200,200,15419877924564
201,201,15419878088692
202,202,15419878252636
203,203,15419878419471
204,204,15419878586670
205,205,15419878751973
206,206,15419878921428
207,207,15419879085977
208,208,15419879252589
209,209,15419879419944
210,210,15419879585467
211,211,15419879751564
212,212,15419879921240
213,213,15419880085499
214,214,15419880252276
215,215,15419880421584
216,216,15419880585523
217,217,15419880752198
218,218,15419880918885
219,219,15419881085734
220,220,15419881252373
221,221,15419881418728
222,222,15419881585353
223,223,15419881752961
224,224,15419881923889
225,225,15419882085809
226,226,15419882252362
227,227,15419882418451
228,228,15419882593785
229,229,15419882751217
230,230,15419882918339
231,231,15419883086601
232,232,15419883252360
233,233,15419883418666
234,234,15419883586294
235,235,15419883752659
236,236,15419883923365
237,237,15419884084880
238,238,15419884252997
239,239,15419884420054
240,240,15419884586165
241,241,15419884752954
242,242,15419884922248
243,243,15419885085030
244,244,15419885251131
245,245,15419885419464
246,246,15419885586418
247,247,15419885752833
248,248,15419885920867
249,249,15419886085950
250,250,15419886253806
251,251,15419886419738
252,252,15419886584224
253,253,15419886754105
254,254,15419886919667
255,255,15419887085852
256,256,15419887252705
257,257,15419887419253
258,258,15419887586019
259,259,15419887752672
260,260,15419887918737
261,261,15419888086432
262,262,15419888253007
263,263,15419888419425
264,264,15419888587043
265,265,15419888751981
266,266,15419888920267
267,267,15419889086893
268,268,15419889255417
269,269,15419889419878
270,270,15419889586618
271,271,15419889752208
272,272,15419889919900
273,273,15419890086460
274,274,15419890253234
275,275,15419890419920
276,276,15419890587157
277,277,15419890752574
278,278,15419890919360
279,279,15419891087434
280,280,15419891252404
281,281,15419891420470
282,282,15419891585253
283,283,15419891758389
284,284,15419891928376
285,285,15419892085921
286,286,15419892253664
287,287,15419892419788
288,288,15419892585727
289,289,15419892753362
290,290,15419892919402
291,291,15419893087315
292,292,15419893252966
293,293,15419893419070
294,294,15419893586388
295,295,15419893753331
296,296,15419893920156
297,297,15419894085463
298,298,15419894254828
299,299,15419894426671
300,300,15419894594704
301,301,15419894753804
302,302,15419894919702
303,303,15419895086680
304,304,15419895252732
305,305,15419895421824
306,306,15419895587563
307,307,15419895753398
308,308,15419895919803
309,309,15419896087713
310,310,15419896253473
311,311,15419896420587
312,312,15419896586414
313,313,15419896755526
314,314,15419896920267
315,315,15419897087109
316,316,15419897253181
317,317,15419897420001
318,318,15419897586392
319,319,15419897753446
320,320,15419897922238
321,321,15419898087755
322,322,15419898254882
323,323,15419898420391
324,324,15419898586457
325,325,15419898753199
326,326,15419898925466
327,327,15419899087775
328,328,15419899253864
329,329,15419899419944
330,330,15419899586277
331,331,15419899753893
332,332,15419899920265
333,333,15419900086339
334,334,15419900253868
335,335,15419900420898
336,336,15419900586773
337,337,15419900753870
338,338,15419900920179
339,339,15419901087911
340,340,15419901260776
341,341,15419901420654
342,342,15419901588136
343,343,15419901754286
344,344,15419901924772
345,345,15419902087377
346,346,15419902254084
347,347,15419902421045
348,348,15419902586460
349,349,15419902753975
350,350,15419902920129
351,351,15419903088186
352,352,15419903253718
353,353,15419903419870
354,354,15419903587760
355,355,15419903754613
356,356,15419903922214
357,357,15419904086305
358,358,15419904254633
359,359,15419904421379
360,360,15419904588207
361,361,15419904754987
362,362,15419904925330
363,363,15419905085740
364,364,15419905253911
365,365,15419905421725
366,366,15419905587676
367,367,15419905755048
368,368,15419905923804
369,369,15419906087995
370,370,15419906254913
371,371,15419906421141
372,372,15419906586957
373,373,15419906754862
374,374,15419906919713
375,375,15419907127055
376,376,15419907255208
377,377,15419907421479
378,378,15419907587280
379,379,15419907754463
380,380,15419907924442
381,381,15419908093431
382,382,15419908254940
383,383,15419908422418
384,384,15419908587943
385,385,15419908754903
386,386,15419908923775
387,387,15419909087410
388,388,15419909256329
389,389,15419909420727
390,390,15419909588725
391,391,15419909753760
392,392,15419909920090
393,393,15419910088874
394,394,15419910255048
395,395,15419910422467
396,396,15419910589459
397,397,15419910754683
398,398,15419910923490
399,399,15419911088162
400,400,15419911253813
401,401,15419911421601
402,402,15419911588670
403,403,15419911756016
404,404,15419911924159
405,405,15419912089055
406,406,15419912266972
407,407,15419912421219
408,408,15419912589411
409,409,15419912754692
410,410,15419912926724
411,411,15419913089647
412,412,15419913255423
413,413,15419913420959
414,414,15419913589193
415,415,15419913755186
416,416,15419913926566
417,417,15419914089880
418,418,15419914255441
419,419,15419914422203
420,420,15419914601160
421,421,15419914754932
422,422,15419914924636
423,423,15419915088139
424,424,15419915254631
425,425,15419915423071
426,426,15419915590366
427,427,15419915755137
428,428,15419915922464
429,429,15419916088696
430,430,15419916261128
431,431,15419916422912
432,432,15419916590976
433,433,15419916789474
434,434,15419916952658
435,435,15419917089546
436,436,15419917256188
437,437,15419917422611
438,438,15419917589374
439,439,15419917756059
440,440,15419917928432
441,441,15419918090109
442,442,15419918256483
443,443,15419918426249
444,444,15419918590322
445,445,15419918757094
446,446,15419918928752
447,447,15419919089986
448,448,15419919256961
449,449,15419919422418
450,450,15419919590750
451,451,15419919754279
452,452,15419919927458
453,453,15419920087838
454,454,15419920254842
455,455,15419920421721
456,456,15419920587918
457,457,15419920755019
458,458,15419920920238
459,459,15419921088253
460,460,15419921254729
461,461,15419921421133
462,462,15419921590661
463,463,15419921756482
464,464,15419921921315
465,465,15419922088785
466,466,15419922255552
467,467,15419922423148
468,468,15419922587869
469,469,15419922755362
470,470,15419922931616
471,471,15419923089047
472,472,15419923256325
473,473,15419923421267
474,474,15419923590046
475,475,15419923754630
476,476,15419923922508
477,477,15419924089542
478,478,15419924255924
479,479,15419924426155
480,480,15419924590345
481,481,15419924753946
482,482,15419924943039
483,483,15419925088320
484,484,15419925256216
485,485,15419925423457
486,486,15419925590081
487,487,15419925756829
488,488,15419925926957
489,489,15419926093632
490,490,15419926257299
491,491,15419926423081
492,492,15419926590035
493,493,15419926763020
494,494,15419926927200
495,495,15419927090770
496,496,15419927255446
497,497,15419927422866
498,498,15419927590508
499,499,15419927757308
500,500,15419927925188
501,501,15419928091754
502,502,15419928258673
503,503,15419928422018
504,504,15419928591791
505,505,15419928756245
506,506,15419928927995
507,507,15419929089247
508,508,15419929255938
509,509,15419929423977
510,510,15419929589709
511,511,15419929756471
512,512,15419929925535
513,513,15419930091538
514,514,15419930257347
515,515,15419930422685
516,516,15419930591027
517,517,15419930757373
518,518,15419930927353
519,519,15419931090230
520,520,15419931255672
521,521,15419931428489
522,522,15419931589996
523,523,15419931756727
524,524,15419931926617
525,525,15419932091357
526,526,15419932278076
527,527,15419932423737
528,528,15419932590791
529,529,15419932759137
530,530,15419932923561
531,531,15419933090171
532,532,15419933256083
533,533,15419933424500
534,534,15419933590357
535,535,15419933757347
536,536,15419933930134
537,537,15419934092014
538,538,15419934257448
539,539,15419934422704
540,540,15419934589901
541,541,15419934754884
542,542,15419934928509
543,543,15419935089011
544,544,15419935257598
545,545,15419935423458
546,546,15419935589126
547,547,15419935757095
548,548,15419935923279
549,549,15419936091290
550,550,15419936257471
551,551,15419936423413
552,552,15419936590435
553,553,15419936756787
554,554,15419936922927
555,555,15419937090028
556,556,15419937256597
557,557,15419937423597
558,558,15419937590661
559,559,15419937757587
560,560,15419937928447
561,561,15419938091350
562,562,15419938259261
563,563,15419938432832
564,564,15419938590493
565,565,15419938757312
566,566,15419938928863
567,567,15419939089635
568,568,15419939261823
569,569,15419939422401
570,570,15419939590150
571,571,15419939755864
572,572,15419939928218
573,573,15419940088865
574,574,15419940257250
575,575,15419940424157
576,576,15419940590765
577,577,15419940768662
578,578,15419940927848
579,579,15419941091388
580,580,15419941256500
581,581,15419941424336
582,582,15419941590900
583,583,15419941756844
584,584,15419941922682
585,585,15419942090788
586,586,15419942256314
587,587,15419942424294
588,588,15419942589595
589,589,15419942760080
590,590,15419942921790
591,591,15419943089862
592,592,15419943263264
593,593,15419943422898
594,594,15419943590293
595,595,15419943756654
596,596,15419943923249
597,597,15419944090249
598,598,15419944257189
599,599,15419944425397
600,600,15419944591648
601,601,15419944755669
602,602,15419944923386
603,603,15419945089104
604,604,15419945258691
605,605,15419945423408
606,606,15419945590539
607,607,15419945768138
608,608,15419945927891
609,609,15419946090585
610,610,15419946257135
